,PostalCode,Borough,Neighborhood
88,M8V,Etobicoke,"New Toronto,Mimico South,Humber Bay Shores"
89,M9V,Etobicoke,"Thistletown,South Steeles,Silverstone,Mount Olive,Jamestown,Humbergate,Beaumond Heights,Albion Gardens"
90,M1W,Scarborough,"Steeles West,L'Amoreaux West"
91,M4W,Downtown Toronto,Rosedale
92,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
93,M8W,Etobicoke,"Long Branch,Alderwood"
94,M9W,Etobicoke,Northwest
95,M1X,Scarborough,Upper Rouge
96,M4X,Downtown Toronto,"St. James Town,Cabbagetown"
97,M5X,Downtown Toronto,"Underground city,First Canadian Place"
98,M8X,Etobicoke,"Old Mill North,Montgomery Road,The Kingsway"
99,M4Y,Downtown Toronto,Church and Wellesley
100,M7Y,East Toronto,Business reply mail Processing Centre969 Eastern
101,M8Y,Etobicoke,"Sunnylea,Royal York South East,The Queensway East,Old Mill South,Mimico NE,Kingsway Park South East,King's Mill Park,Humber Bay"
102,M8Z,Etobicoke,"South of Bloor,Royal York South West,The Queensway West,Mimico NW,Kingsway Park South West"
